Brand;Model;Car_Info;User_Desc;Price;Price_Eval;Kilometer;Gear_Type;YearMonth;Fuel_Type;Horsepower;Consumption;CO2_Emission
Hyundai;i30;FIFA World Cup Edition *NAVI*KAMERA*Sitzhzg*ALU*;Radio, Sitzheizung, Navigationssystem, Einparkhilfe Kamera, USB, 2-Zonen-Klimaautomatik, Zentralverriegelung mit Funkfernbedienung, Multifunktionslenkrad;€ 9.780,-;Sehr guter Preis;79.000 km;Schaltgetriebe;03/2015;Benzin;99 kW (135 PS);5,7 l/100 km;134 g/km
Audi;A4;"AMBITION 1.8 TFSI SPORT EDITION AUT. |XEN|18""";Sportfahrwerk, Sportpaket, Getönte Scheiben, 3-Zonen-Klimaautomatik, Alufelgen, Reifendruckkontrollsystem, Sitzheizung, Einparkhilfe Sensoren vorne;€ 13.990,-;Guter Preis;133.797 km;Automatik;07/2015;Benzin;125 kW (170 PS);6,2 l/100 km;144 g/km
Mazda;CX-5;Sports-Line AWD*Tempomat*RfK*LED;Fahrerairbag, Sportpaket, Einparkhilfe Kamera, Elektrische Sitze, LED-Scheinwerfer, Beifahrerairbag, Totwinkel-Assistent, Allrad;€ 10.590,-;Sehr guter Preis;178.632 km;Automatik;11/2015;Diesel;129 kW (175 PS);5,5 l/100 km;144 g/km
Mazda;6;2.2 SKYACTIV-D Sports-Line;Skisack, Xenonscheinwerfer, Airbag hinten, Lichtsensor, Sitzheizung, USB, Alufelgen, Beifahrerairbag;€ 10.550,-;Fairer Preis;147.000 km;Schaltgetriebe;05/2014;Diesel;129 kW (175 PS);nan;nan
Mercedes-Benz;Viano;3.0 CDI Trend Edition Kompakt Navi Klimaautom SHZ;Schiebetür rechts, Getönte Scheiben, Alufelgen, Beifahrerairbag, Fahrerairbag, Einparkhilfe Sensoren vorne, Navigationssystem, Klimaautomatik;€ 19.988,-;Sehr guter Preis;189.430 km;Automatik;06/2013;Diesel;165 kW (224 PS);nan;nan
Hyundai;TUCSON;1.6 GDI 2WD *2-HD*NAVI*KAMERA*LED*AHK*ALU;Sitzheizung, Navigationssystem, 2-Zonen-Klimaautomatik, Dachreling, Multifunktionslenkrad, Anhängerkupplung, Einparkhilfe Sensoren vorne, Getönte Scheiben;€ 12.400,-;Sehr guter Preis;138.000 km;Schaltgetriebe;07/2016;Benzin;97 kW (132 PS);6,3 l/100 km;147 g/km
Volkswagen;Caddy;Alltrack 4x4*Behindertengerecht am Lenkrad;Behindertengerecht, Allrad, Schiebetür links, Schiebetür rechts, Sitzheizung, Standheizung, Beifahrerairbag, Isofix;€ 14.900,-;nan;246.767 km;Automatik;02/2019;Diesel;110 kW (150 PS);5,6 l/100 km;148 g/km
Audi;A6;35 TDI VIRTUAL/LEDER/SPORT;Sportpaket, LED-Scheinwerfer, Volldigitales Kombiinstrument, Einparkhilfe Kamera, Ambientebeleuchtung, Elektrische Heckklappe, Elektrische Sitze, Alufelgen;€ 23.500,-;Sehr guter Preis;151.700 km;Automatik;03/2020;Diesel;120 kW (163 PS);4,3 l/100 km;112 g/km
Skoda;Octavia;1.6 TDI DSG Ambition NAVI/AHK*;Alufelgen, Bordcomputer, Touchscreen, Anhängerkupplung, Einparkhilfe Sensoren vorne, Sommerreifen, USB, Einparkhilfe Sensoren hinten;€ 8.990,-;Guter Preis;174.200 km;Automatik;12/2016;Diesel;81 kW (110 PS);nan;nan
SEAT;Ibiza;SC Reference Salsa;Fahrerairbag, Klimaanlage, Beifahrerairbag, Pannenkit, Wegfahrsperre, Elektr. Fensterheber, ESP, Seitenairbag;€ 4.199,-;Sehr guter Preis;139.100 km;Schaltgetriebe;08/2013;Benzin;63 kW (86 PS);5,9 l/100 km;140 g/km
SEAT;Ibiza;5trg Style Klimaauto*Navi*PDC*Sitzhzg*Alu;Sitzheizung, E10-geeignet, Klimaanlage, Navigationssystem, Lederlenkrad, Bluetooth, Klimaautomatik, Wegfahrsperre;€ 7.490,-;Guter Preis;74.490 km;Schaltgetriebe;04/2014;Benzin;51 kW (69 PS);5,4 l/100 km;128 g/km
Mercedes-Benz;Vito;119 CDI Aut. 4MATIC lang-8Si.-Navi-Kamera-;Schiebetür rechts, Einparkhilfe Kamera, Allrad, Seitenairbag, Beifahrerairbag, Reifendruckkontrollsystem, Isofix, Getönte Scheiben;€ 22.900,-;Sehr guter Preis;199.900 km;Automatik;08/2016;Diesel;140 kW (190 PS);5,8 l/100 km;nan
SEAT;Leon;1.2 TSI SCHECKHEFT,2.HAND,TEMPOMAT,KLIMA;Fahrerairbag, Beifahrerairbag, LED-Tagfahrlicht, Alufelgen, Start/Stop-Automatik, Bluetooth, Reifendruckkontrollsystem, Touchscreen;€ 6.880,-;Guter Preis;129.000 km;Schaltgetriebe;03/2013;Benzin;77 kW (105 PS);4,9 l/100 km;116 g/km
Audi;SQ5;3.0 TDI quattro;Navigationssystem, Abstandstempomat, Schlüssellose Zentralverriegelung, Fernlichtassistent, Sportfahrwerk, Sportsitze, Elektrische Sitze, Spurhalteassistent;€ 26.930,-;Guter Preis;105.007 km;Automatik;07/2014;Diesel;230 kW (313 PS);6,8 l/100 km;180 g/km
Volkswagen;Sharan;Comfortline 2.0 TDI Automatik/ Navi/ AHK;Elektrische Sitze, Radio, Getönte Scheiben, Apple CarPlay, Einparkhilfe Sensoren vorne, Alufelgen, Sportsitze, Navigationssystem;€ 14.990,-;Sehr guter Preis;159.215 km;Automatik;07/2016;Diesel;110 kW (150 PS);5,2 l/100 km;136 g/km
Audi;Q5;3.0 TDI  quattro OFFROAD / BI-XENON / AHK;Sitzheizung, Navigationssystem, Schaltwippen, Elektrische Sitze, Standheizung, Anhängerkupplung, Einparkhilfe Sensoren hinten, Multifunktionslenkrad;€ 14.990,-;Guter Preis;213.172 km;Automatik;01/2013;Diesel;180 kW (245 PS);6,4 l/100 km;170 g/km
BMW;X5;xDrive30d Navi Prof Xenon StanHzg AHK EU6;Beifahrerairbag, Einparkhilfe Sensoren vorne, Alufelgen, Sitzheizung, 2-Zonen-Klimaautomatik, Anhängerkupplung, Standheizung, Allrad;€ 21.450,-;Guter Preis;177.000 km;Automatik;01/2014;Diesel;190 kW (258 PS);5,9 l/100 km;156 g/km
Hyundai;iX20;FIFA World Cup Edition Navi RFK  Sitzhzg;Klimaanlage, Navigationssystem, Katalysator, Sitzheizung, Berganfahrassistent, Reifendruckkontrollsystem, Touchscreen, Traktionskontrolle;€ 11.690,-;Sehr guter Preis;16.600 km;Automatik;10/2015;Benzin;92 kW (125 PS);nan;nan
Mercedes-Benz;GLK 220;CDI 4MATIC 7G-Tr. AMG *AHK*PANO*KAMERA*MB-SCHECKH.;Sportpaket, Sportfahrwerk, 3-Zonen-Klimaautomatik, Anhängerkupplung, Einparkhilfe selbstlenkendes System, Elektrische Heckklappe, Sitzheizung, Einparkhilfe Kamera;€ 19.900,-;Fairer Preis;158.000 km;Automatik;10/2014;Diesel;125 kW (170 PS);6,2 l/100 km;161 g/km
Renault;Kadjar;Energy TCe 165 Crossborder;LED-Scheinwerfer, Sitzheizung, Elektrische Sitze, Abstandstempomat, Sommerreifen, Beifahrerairbag, Navigationssystem, Winterpaket;€ 13.980,-;Sehr guter Preis;77.279 km;Schaltgetriebe;09/2017;Benzin;120 kW (163 PS);nan;nan
Dacia;Logan;MCV II Kombi Laureate*AUTOM.*NAVI*TÜV NEU*;Klimaanlage, Alufelgen, Anhängerkupplung, Beifahrerairbag, Elektrische Seitenspiegel, Tempomat, Navigationssystem, Getönte Scheiben;€ 6.900,-;Guter Preis;157.000 km;Automatik;07/2017;Diesel;66 kW (90 PS);3,6 l/100 km;92 g/km
Mercedes-Benz;C 180;CGI Avantgarde, LED, Leder, Navi, GSHD;Sportsitze, Sommerreifen, LED-Scheinwerfer, Panoramadach, Müdigkeitswarnsystem, Elektr. Fensterheber, Einparkhilfe selbstlenkendes System, Voll-LED Scheinwerfer;€ 17.440,-;Guter Preis;80.000 km;Schaltgetriebe;06/2014;Benzin;115 kW (156 PS);5,0 l/100 km;118 g/km
Ford;Tourneo Custom;"2,0TDCI""Titanium""2Schiebetüren""9Sitze""";Einparkhilfe Kamera, Radio, Beifahrerairbag, Schiebetür links, Alufelgen, Getönte Scheiben, Isofix, Abstandstempomat;€ 19.990,-;nan;120.000 km;Automatik;06/2017;Diesel;125 kW (170 PS);nan;nan
Ford;Tourneo Connect;1.6 TDCi 5 SITZE TITANIUM PANO;Beifahrerairbag, Schiebetür rechts, Anhängerkupplung, Kurvenlicht, Alufelgen, Schiebetür links, Fahrerairbag, Lichtsensor;€ 12.880,-;Sehr guter Preis;94.506 km;Schaltgetriebe;03/2015;Diesel;85 kW (116 PS);4,9 l/100 km;130 g/km
Mercedes-Benz;CLS 350;CDI*AMG-SPORT PAKET*TÜV neu;Sportpaket, Soundsystem, Sportfahrwerk, Radio, Sportsitze, LED-Scheinwerfer, Alufelgen, Sitzheizung;€ 18.990,-;Sehr guter Preis;174.128 km;Automatik;03/2015;Diesel;195 kW (265 PS);6,1 l/100 km;162 g/km
Ford;C-Max;Sync Edition;Beifahrerairbag, Alufelgen, Fahrerairbag, Sitzheizung, Elektr. Fensterheber, Beheizbare Frontscheibe, ABS, Lordosenstütze;€ 7.850,-;Guter Preis;60.334 km;Schaltgetriebe;10/2014;Benzin;74 kW (101 PS);nan;nan
Nissan;Qashqai;1.6 360° Pano;Alufelgen, Bluetooth, Radio, Beifahrerairbag, Fahrerairbag, Geschwindigkeits-begrenzungsanlage, Navigationssystem, Getönte Scheiben;€ 8.900,-;Guter Preis;127.987 km;Schaltgetriebe;01/2014;Benzin;86 kW (117 PS);6,2 l/100 km;147 g/km
Skoda;Kamiq;Active LED-AHK Schwenkbar- 1 Hand;Geschwindigkeits-begrenzungsanlage, Anhängerkupplung, LED-Scheinwerfer, Spurhalteassistent, DAB-Radio, Freisprecheinrichtung, Sitzheizung, USB;€ 11.450,-;Sehr guter Preis;182.100 km;Schaltgetriebe;12/2019;Diesel;85 kW (116 PS);4,2 l/100 km;nan
Mercedes-Benz;B 180;CDI Navi/ PDC/ NSW/ SHZ;Fahrerairbag, Beifahrerairbag, Alufelgen, Sitzheizung, Navigationssystem, Start/Stop-Automatik, Einparkhilfe Sensoren hinten, Wegfahrsperre;€ 8.750,-;nan;103.783 km;Automatik;08/2013;Diesel;80 kW (109 PS);4,6 l/100 km;122 g/km
Opel;Adam;Turbo *HU NEU*;Bordcomputer, Alufelgen, Sportfahrwerk, Tempomat, Bluetooth, Touchscreen, Radio, Pannenkit;€ 6.799,-;Guter Preis;147.000 km;Schaltgetriebe;11/2014;Benzin;85 kW (116 PS);4,3 l/100 km;116 g/km
Peugeot;308;SW 1.5 Aut Activ NAV+SHZ+PDC+TEM+SERVICE NEU;Sitzheizung, Navigationssystem, Freisprecheinrichtung, 2-Zonen-Klimaautomatik, Getönte Scheiben, Beifahrerairbag, Apple CarPlay, Geschwindigkeits-begrenzungsanlage;€ 8.950,-;Guter Preis;143.898 km;Automatik;08/2019;Benzin;96 kW (131 PS);nan;nan
Volkswagen;Amarok;Highline DoubleCab 4Motion Navi*Xenon*AHK;Einparkhilfe Kamera, Einparkhilfe Sensoren vorne, Bi-Xenon Scheinwerfer, Beifahrerairbag, Klimaautomatik, Bordcomputer, Sitzheizung, Winterpaket;€ 17.998,-;Guter Preis;287.200 km;Automatik;03/2018;Diesel;165 kW (224 PS);8,0 l/100 km;210 g/km
Skoda;Superb;Combi Style 2.0 TDI DSG AHK EXPORT;Elektrische Sitze, Alufelgen, Apple CarPlay, Bi-Xenon Scheinwerfer, Sitzheizung, Beifahrerairbag, USB, Elektrische Seitenspiegel;€ 14.900,-;Sehr guter Preis;157.900 km;Automatik;04/2017;Diesel;140 kW (190 PS);4,5 l/100 km;114 g/km
Volkswagen;Golf;VII Lim. Cup BMT Navi,SH,PDC,Park Assist;Finanzierung ab 6,29% / Sofortankauf & Inzahlungnahme;€ 9.990,-;Guter Preis;127.940 km;Schaltgetriebe;10/2014;Benzin;103 kW (140 PS);5,2 l/100 km;119 g/km
Opel;Karl;Exklusiv Leder+PDC+Sitz&Lenkradhzg+Navi;FINANZIERUNG 78€ mtl. / ANKAUF / LIEFERUNG;€ 7.880,-;Guter Preis;88.210 km;Schaltgetriebe;02/2016;Benzin;56 kW (76 PS);4,3 l/100 km;102 g/km
Volkswagen;Golf;VII Comf. 1.6 TDI 1.Hd*Navi*ACC*PDC*AHK;Apple CarPlay, MP3, Alufelgen, Einparkhilfe Sensoren vorne, Lordosenstütze, LED-Tagfahrlicht, Abstandstempomat, Pannenkit;€ 11.990,-;Guter Preis;146.000 km;Schaltgetriebe;11/2017;Diesel;85 kW (116 PS);nan;nan
Volkswagen;Touran;1.2TSI AHK+Klimaaut+Sitzhzg+LM-Felge;Anhängerkupplung, 3-Zonen-Klimaautomatik, Armlehne, Sitzheizung, Isofix, Klimaanlage, Wegfahrsperre, Touchscreen;€ 12.940,-;Sehr guter Preis;96.505 km;Schaltgetriebe;11/2015;Benzin;81 kW (110 PS);nan;nan
Volkswagen;Golf;2.0TDI Highline SHZ Kamera Tempomat 1. Hand;Einparkhilfe Sensoren vorne, Einparkhilfe Kamera, Einparkhilfe Sensoren hinten, 2-Zonen-Klimaautomatik, Alufelgen, Sommerreifen, Sportsitze, Start/Stop-Automatik;€ 9.950,-;Fairer Preis;249.985 km;Automatik;09/2015;Diesel;110 kW (150 PS);4,5 l/100 km;119 g/km
Volkswagen;Scirocco;2.0d BMT SPORTPAKET+NAVI 510+LEDER+KAM+;Radio, Einparkhilfe Kamera, Navigationssystem, Sportpaket, Sportfahrwerk, Getönte Scheiben, Fahrerairbag, Armlehne;€ 9.750,-;Sehr guter Preis;171.043 km;Automatik;02/2014;Diesel;103 kW (140 PS);4,9 l/100 km;129 g/km
BMW;320;d Sport *VOLLAUSSTATTUNG*PANO/LEDER/GARANTIE;Sportpaket, Sportsitze, Panoramadach, Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Navigationssystem, Anhängerkupplung, Sommerreifen;€ 16.890,-;Fairer Preis;109.000 km;Automatik;09/2013;Diesel;135 kW (184 PS);4,7 l/100 km;125 g/km
Porsche;Macan;"S Diesel PDK 21"" PANORAMA";Bordcomputer, Touchscreen, LED-Tagfahrlicht, Innenspiegel automatisch abblendend, Soundsystem, Abstandswarner, Panoramadach, Schiebedach;€ 26.900,-;Sehr guter Preis;182.000 km;Automatik;06/2015;Diesel;190 kW (258 PS);6,3 l/100 km;167 g/km
Opel;Grandland X;Selection;Verkehrszeichenerkennung, Elektronische Parkbremse, USB, Reifendruckkontrollsystem, E10-geeignet, Freisprecheinrichtung, Berganfahrassistent, Zentralverriegelung;€ 11.990,-;Sehr guter Preis;88.000 km;Schaltgetriebe;02/2018;Benzin;96 kW (131 PS);5,4 l/100 km;124 g/km
Opel;Corsa;Innovation*XENON*PDC*TEMPOMAT*LENKRADHZG;Alufelgen, Einparkhilfe Sensoren hinten, Beheizbares Lenkrad, Sitzheizung, Bordcomputer, Beifahrerairbag, Xenonscheinwerfer, Nebelscheinwerfer;€ 9.900,-;Sehr guter Preis;86.213 km;Automatik;01/2018;Benzin;66 kW (90 PS);nan;nan
Land Rover;Discovery Sport;SE AWD;Sitzheizung, Winterpaket, Allrad, Einparkhilfe Sensoren hinten, Navigationssystem, Schlüssellose Zentralverriegelung, Freisprecheinrichtung, LED-Tagfahrlicht;€ 16.500,-;Sehr guter Preis;119.540 km;Automatik;05/2017;Diesel;132 kW (179 PS);5,3 l/100 km;139 g/km
Renault;Megane;Grandtour GT Line mit VOLLAUSTATTUNG;ABS, Sportfahrwerk, Zentralverriegelung mit Funkfernbedienung, Verkehrszeichenerkennung, Lordosenstütze, Einparkhilfe Sensoren hinten, Sitzheizung, Abstandstempomat;€ 10.300,-;Guter Preis;138.000 km;Schaltgetriebe;07/2015;Diesel;120 kW (163 PS);5,6 l/100 km;148 g/km
Land Rover;Range Rover Evoque;2.0 Sd4 SE Dynamic GOLD;Seit 1963 Ihr KFZ-Meisterbetrieb in Mainz Bretzenheim;€ 16.900,-;Fairer Preis;152.900 km;Schaltgetriebe;02/2016;Diesel;132 kW (179 PS);4,8 l/100 km;125 g/km
Volkswagen;Passat Variant;Comfortline BMT/Start-Stopp;Voll-LED Scheinwerfer, LED-Scheinwerfer, Einparkhilfe Kamera, Navigationssystem, Einparkhilfe Sensoren vorne, Einparkhilfe selbstlenkendes System, Start/Stop-Automatik, Abstandstempomat;€ 14.900,-;Guter Preis;140.800 km;Automatik;11/2015;Benzin;132 kW (179 PS);5,8 l/100 km;130 g/km
Mercedes-Benz;E 220;CDI w212 *CO²-126g*AVANTGARDE*LED*COMAND*LEDER*;LED-Scheinwerfer, Navigationssystem, Abstandstempomat, Einparkhilfe Sensoren hinten, Verkehrszeichenerkennung, Elektrische Sitze, Einparkhilfe Sensoren vorne, Alufelgen;€ 10.800,-;Guter Preis;253.600 km;Schaltgetriebe;02/2014;Diesel;125 kW (170 PS);5,1 l/100 km;126 g/km
Dacia;Duster;Prestige dCi110 4x4 ALLRAD LEDER/KAMERA;Allrad, Einparkhilfe Kamera, Alufelgen, Sitzheizung, Dachreling, Navigationssystem, Klimaanlage, Geschwindigkeits-begrenzungsanlage;€ 12.000,-;Sehr guter Preis;122.479 km;Schaltgetriebe;01/2018;Diesel;80 kW (109 PS);nan;nan
Peugeot;2008;1.2 12V VTi / PureTech 82 Active *LED*PDC;Pannenkit, Sitzheizung, Touchscreen, Dachreling, Beifahrerairbag, Einparkhilfe Sensoren hinten, Elektrische Seitenspiegel, Wegfahrsperre;€ 6.993,-;Guter Preis;106.462 km;Schaltgetriebe;07/2015;Benzin;60 kW (82 PS);nan;nan
Opel;Mokka;Edition Sitz&Lenkradhzg+PDC+Klimaauto+Navi;Sitzheizung, Navigationssystem, E10-geeignet, 2-Zonen-Klimaautomatik, Apple CarPlay, Sommerreifen, Beheizbares Lenkrad, Touchscreen;€ 9.880,-;Sehr guter Preis;115.613 km;Schaltgetriebe;01/2017;Benzin;103 kW (140 PS);6,0 l/100 km;142 g/km
SEAT;Ibiza;*Navi*SitzHZ*Klima*Geplegt+Top*;Multifunktionslenkrad, Alufelgen, Klimaautomatik, Navigationssystem, Sitzheizung, Scheinwerferreinigung, E10-geeignet, Wegfahrsperre;€ 5.999,-;Fairer Preis;148.000 km;Schaltgetriebe;04/2013;Benzin;63 kW (86 PS);5,9 l/100 km;140 g/km
Fiat;500;Lounge  CABRIO;Einparkhilfe Sensoren hinten, Alufelgen, Reifendruckkontrollsystem, Lederlenkrad, Elektrische Seitenspiegel, Nebelscheinwerfer, Schiebedach, Elektr. Fensterheber;€ 6.849,-;Guter Preis;112.500 km;Schaltgetriebe;10/2015;Benzin;51 kW (69 PS);4,9 l/100 km;115 g/km
Volkswagen;Tiguan;Track & Style 4Motion SITZHEIZ*KILMA*AHK*NAVI;Allrad, Alufelgen, Sitzheizung, Sportpaket, Touchscreen, Navigationssystem, Start/Stop-Automatik, Seitenairbag;€ 12.350,-;Sehr guter Preis;149.122 km;Schaltgetriebe;04/2014;Diesel;103 kW (140 PS);6,0 l/100 km;157 g/km
Mercedes-Benz;C 180;Mercedes C180 *Burmester*Leder*SHZ*NAVI*LED*SHZ;LED-Scheinwerfer, Totwinkel-Assistent, Einparkhilfe selbstlenkendes System, Sitzheizung, Ambientebeleuchtung, Navigationssystem, LED-Tagfahrlicht, Beifahrerairbag;€ 18.990,-;Guter Preis;57.800 km;Automatik;05/2014;Benzin;115 kW (156 PS);nan;nan
Volkswagen;Polo;Trendline 1,0 l 48 kW (65 PS) 5-Gang;Alle Fahrzeuge mit mind. 12 Monaten VW/AUDI-Garantie;€ 9.800,-;nan;100.400 km;Schaltgetriebe;12/2017;Benzin;48 kW (65 PS);nan;nan
BMW;320;d Sport Line*AHK*LASER*KAMERA*8.FACH*AMBIENTE;Einparkhilfe Kamera, Sportpaket, Sportsitze, Apple CarPlay, Volldigitales Kombiinstrument, Ambientebeleuchtung, Laserlicht, Getönte Scheiben;€ 18.700,-;Guter Preis;194.000 km;Automatik;07/2021;Diesel;140 kW (190 PS);4,2 l/100 km;109 g/km
Skoda;Superb;2.0 TDI  Exclusive DSG ~LED~Bi-Xenon~Navi;Bi-Xenon Scheinwerfer, Start/Stop-Automatik, Navigationssystem, Anhängerkupplung, Bluetooth, Alufelgen, Getönte Scheiben, Einparkhilfe Sensoren hinten;€ 9.999,-;Fairer Preis;199.035 km;Automatik;11/2013;Diesel;103 kW (140 PS);4,6 l/100 km;122 g/km
Kia;Stonic;1.2 Edition 7 Emotion 1. Hand  Carplay Tempomat PD;Pannenkit, Beheizbares Lenkrad, Alufelgen, Elektrische Seitenspiegel, Einparkhilfe Sensoren hinten, Apple CarPlay, Sitzheizung, Touchscreen;€ 9.777,-;Guter Preis;110.290 km;Schaltgetriebe;12/2017;Benzin;62 kW (84 PS);nan;nan
Mercedes-Benz;E 200;d T 9G BURMESTER+COMAND+KAM+LED+SHZ+DAB+TEM;Einparkhilfe Kamera, Sportfahrwerk, LED-Scheinwerfer, Apple CarPlay, Totwinkel-Assistent, Elektrische Heckklappe, Navigationssystem, Verkehrszeichenerkennung;€ 15.550,-;Guter Preis;200.000 km;Automatik;02/2018;Diesel;110 kW (150 PS);4,2 l/100 km;109 g/km
Chevrolet;Captiva;2.2 LT+*NAVI*PDC*SHZ*LEDER*7-SITZER*4x4*;Viel Auto für Wenig Geld / wir sind immer für sie da;€ 9.990,-;Guter Preis;162.870 km;Automatik;04/2013;Diesel;135 kW (184 PS);6,6 l/100 km;175 g/km
Volkswagen;Golf;VII Lim. Comfortline BMT;Bi-Xenon Scheinwerfer, Alufelgen, Einparkhilfe Kamera, Sportsitze, 2-Zonen-Klimaautomatik, Sitzheizung, LED-Tagfahrlicht, Geschwindigkeits-begrenzungsanlage;€ 10.900,-;Guter Preis;114.310 km;Schaltgetriebe;06/2015;Benzin;77 kW (105 PS);4,9 l/100 km;114 g/km
Volkswagen;Touareg;V8 TDI R-Line 4.2 Pano*Standh.*ACC*Kam;Einparkhilfe Kamera, Sportpaket, Wegfahrsperre, Lederlenkrad, Anhängerkupplung, Alufelgen, Panoramadach, Elektrische Sitze;€ 21.790,-;Guter Preis;193.000 km;Automatik;01/2014;Diesel;250 kW (340 PS);nan;nan
Ford;Ranger;3.2 TDCI DoKa 4x4 Limited Navi Leder Rfk Offroad P;Einparkhilfe Kamera, USB, Elektrische Sitze, Lordosenstütze, Einparkhilfe Sensoren vorne, Einparkhilfe Sensoren hinten, Touchscreen, Allrad;€ 19.900,-;Sehr guter Preis;166.300 km;Automatik;12/2017;Diesel;147 kW (200 PS);8,8 l/100 km;231 g/km
Audi;A1;Facelift,NAVI,Klima, SHZ,HU NEU , Bremsen NEU!;Armlehne, Klimaanlage, Sportfahrwerk, Bordcomputer, Lederlenkrad, Navigationssystem, Bluetooth, Radio;€ 10.499,-;Sehr guter Preis;121.235 km;Schaltgetriebe;01/2015;Benzin;92 kW (125 PS);5,2 l/100 km;123 g/km
Audi;A5;2.0 TFSI S tronic quattro Cabriolet;Soundsystem, Navigationssystem, Einparkhilfe Sensoren vorne, Multifunktionslenkrad, Sitzheizung, Allrad, Schlüssellose Zentralverriegelung, Apple CarPlay;€ 21.490,-;Sehr guter Preis;45.373 km;Automatik;11/2015;Benzin;169 kW (230 PS);6,9 l/100 km;nan
Skoda;Octavia;Combi 1.6 TDI Ambition PDChi|Tempo|Klima;Fahrerairbag, Klimaanlage, Sitzheizung, ABS, Dachreling, Tempomat, Beifahrerairbag, Sommerreifen;€ 5.400,-;Sehr guter Preis;218.843 km;Automatik;11/2014;Diesel;77 kW (105 PS);nan;nan
Mercedes-Benz;Vito;111 CDI FWD lang Bluetooth PDC AHK 9 Sitze;Auto kauft man mit Vertrauen u Garantie;€ 18.740,-;Hoher Preis;181.000 km;Schaltgetriebe;03/2017;Diesel;84 kW (114 PS);nan;nan
Mercedes-Benz;CLA 180;Urban LED Navi Sitzheizung;Sportsitze, Multifunktionslenkrad, Navigationssystem, Sitzheizung, Einparkhilfe Sensoren vorne, Alufelgen, teilb. Rücksitzbank, LED-Scheinwerfer;€ 17.480,-;Guter Preis;98.604 km;Schaltgetriebe;09/2016;Benzin;90 kW (122 PS);nan;nan
Fiat;Ducato;2,3 JTD *L2H2* Hoch+Lang*Garantie*;12-64 Monate Garantie / Tüv & Inspektion= NEU !;€ 13.990,-;Guter Preis;163.000 km;Schaltgetriebe;01/2016;Diesel;96 kW (131 PS);nan;nan
Mazda;6;2.2 D LED/Head-up/Spurhalte-/Totwinkel/Kamera!;Sitzheizung, Einparkhilfe Kamera, Multifunktionslenkrad, Head-up display, Einparkhilfe Sensoren vorne, Navigationssystem, LED-Scheinwerfer, Sommerreifen;€ 12.798,-;Guter Preis;111.780 km;Schaltgetriebe;05/2016;Diesel;129 kW (175 PS);4,6 l/100 km;nan
Mitsubishi;ASX;1.6 Klassik Kollekt GEPFLEGT+SHZ+KAM+AHK+TEM;Touchscreen, Radio, Sitzheizung, Anhängerkupplung, Navigationssystem, Isofix, Alufelgen, Beifahrerairbag;€ 7.250,-;Fairer Preis;213.160 km;Schaltgetriebe;05/2015;Benzin;86 kW (117 PS);5,8 l/100 km;137 g/km
BMW;530;Limousine Aut. NAV+LED+SHZ+ACC+HiFi+EU6+2Hd;Elektrische Sitze, Soundsystem, Elektr. Fensterheber, Schlüssellose Zentralverriegelung, Abstandstempomat, Getönte Scheiben, Alufelgen, Beifahrerairbag;€ 23.989,-;Sehr guter Preis;144.750 km;Automatik;04/2017;Diesel;195 kW (265 PS);4,5 l/100 km;nan
BMW;X3;Baureihe X3 xDrive35d;Soundsystem, Sportfahrwerk, Navigationssystem, Sportpaket, 360° Kamera, Abstandstempomat, Head-up display, Einparkhilfe Sensoren vorne;€ 16.500,-;Sehr guter Preis;174.896 km;Automatik;11/2013;Diesel;230 kW (313 PS);6,1 l/100 km;162 g/km
Citroen;DS3;SoChic |HiFi|1J.GARANTIE;Geschwindigkeits-begrenzungsanlage, Tempomat, Alufelgen, Klimaautomatik, Lederlenkrad, Sommerreifen, E10-geeignet, USB;€ 6.000,-;Sehr guter Preis;94.800 km;Schaltgetriebe;01/2015;Benzin;60 kW (82 PS);nan;nan
Volkswagen;Passat Variant;Comfortline *Allwetter*AHK*ACC*SHZ*;3-Zonen-Klimaautomatik, Sitzheizung, Lichtsensor, Bluetooth, Sportpaket, Anhängerkupplung, Dachreling, Abstandstempomat;€ 12.790,-;Guter Preis;167.208 km;Automatik;06/2016;Benzin;92 kW (125 PS);nan;nan
Dacia;Duster;I Prestige 1.6 LPG Klima Leder Navi PDC;Über 400 Dacia Neuwagen im Bestand/3 Jahre Garantie;€ 6.990,-;Fairer Preis;160.000 km;Schaltgetriebe;06/2014;Autogas (LPG);77 kW (105 PS);7,1 l/100 km;165 g/km
Renault;Clio;IV 1,2i Limited Navi, Klima;100% Vollfinanzierung über unsere Hausbank möglich;€ 6.990,-;nan;116.200 km;Schaltgetriebe;05/2016;Benzin;54 kW (73 PS);5,6 l/100 km;133 g/km
Skoda;Octavia;Combi Ambition*Navigation*AHK*Tempomat;Bluetooth, Anhängerkupplung, Freisprecheinrichtung, Getönte Scheiben, Tempomat, Beifahrerairbag, Navigationssystem, ESP;€ 5.900,-;Sehr guter Preis;285.775 km;Automatik;07/2014;Diesel;110 kW (150 PS);4,5 l/100 km;119 g/km
Audi;Q7;3.0 TDI quattro *7SITZER*2.HAND*BI-XENON*AHK*;Soundsystem, Bluetooth, Sitzheizung, Getönte Scheiben, Sportsitze, Schaltwippen, Lederlenkrad, Anhängerkupplung;€ 24.399,-;Fairer Preis;280.671 km;Automatik;03/2017;Diesel;200 kW (272 PS);6,2 l/100 km;163 g/km
